N,종목명,현재가,전일비,등락률,액면가,시가총액    상장주식수   외국인비율   거래량 PER ROE
1,삼성전자,"71,500","1,800",+2.58%,100,"4,268,395","5,969,783",56.37,"27,844,347",19.52,8.69,
2,SK하이닉스,"115,000","3,500",+3.14%,"5,000","837,203","728,002",50.43,"8,184,693",29.17,4.25,
3,LG화학,"846,000",0,0.00%,"5,000","597,211","70,592",42.62,"370,778",79.04,1.84,
4,삼성바이오로직스,"825,000","20,000",+2.48%,"2,500","545,861","66,165",9.98,"300,241",153.60,4.77,
5,삼성전자우,"65,500","1,100",+1.71%,100,"538,991","822,887",84.60,"4,219,451",17.89,N/A,
6,셀트리온,"380,000","29,000",+8.26%,"1,000","512,992","134,998",20.54,"4,688,614",100.72,11.19,
7,NAVER,"294,000","7,000",+2.44%,100,"482,934","164,263",55.96,"1,168,744",58.53,10.56,
8,현대차,"196,500",0,0.00%,"5,000","419,858","213,668",31.22,"3,207,024",46.95,4.32,
9,삼성SDI,"551,000","1,000",-0.18%,"5,000","378,893","68,765",43.53,"333,980",187.99,2.94,
10,카카오,"389,500","15,500",+4.14%,500,"343,849","88,280",32.29,"1,549,952",-432.30,-5.81,
11,기아차,"65,400",700,+1.08%,"5,000","265,108","405,363",37.65,"3,854,972",30.39,6.50,
12,LG생활건강,"1,522,000","5,000",-0.33%,"5,000","237,709","15,618",45.61,"26,149",34.10,20.32,
13,현대모비스,"246,500","1,000",+0.41%,"5,000","234,310","95,055",43.40,"443,486",15.03,7.28,
14,POSCO,"265,500","14,000",+5.57%,"5,000","231,481","87,187",51.01,"659,583",24.32,4.18,
15,삼성물산,"123,500","1,500",+1.23%,100,"230,806","186,887",14.23,"993,358",20.69,4.77,
16,KB금융,"47,200",50,+0.11%,"5,000","196,261","415,808",65.91,"1,740,791",5.76,8.92,
17,SK텔레콤,"239,500","1,000",+0.42%,500,"193,386","80,746",33.94,"301,926",17.64,3.92,
18,엔씨소프트,"867,000","11,000",-1.25%,500,"190,341","21,954",48.34,"87,280",33.93,14.72,
19,신한지주,"34,600",550,+1.62%,"5,000","178,718","516,527",57.64,"3,326,833",4.96,9.09,
20,SK,"239,500","1,000",+0.42%,200,"168,513","70,360",21.69,"606,018","1,010.55",4.31,
21,SK이노베이션,"177,500","2,500",-1.39%,"5,000","164,126","92,466",23.62,"1,092,040",-6.75,-0.20,
22,LG전자,"90,500",200,+0.22%,"5,000","148,101","163,648",35.75,"1,756,008",19.66,0.22,
23,삼성생명,"72,800",700,-0.95%,500,"145,600","200,000",12.17,"692,703",14.62,3.26,
24,한국전력,"22,100",250,-1.12%,"5,000","141,874","641,964",16.79,"4,569,951",153.47,-3.42,
25,SK바이오팜,"176,500","1,000",+0.57%,500,"138,223","78,313",4.23,"234,494",-160.45,-313.66,
26,삼성에스디에스,"174,500","1,000",-0.57%,500,"135,024","77,378",12.21,"172,338",25.76,11.76,
27,LG,"74,100",800,+1.09%,"5,000","127,865","172,557",34.64,"582,614",10.47,5.87,
28,삼성전기,"162,500",500,-0.31%,"5,000","121,377","74,694",34.45,"678,088",33.29,10.18,
29,KT&G,"84,600",300,+0.36%,"5,000","116,149","137,292",40.64,"590,754",11.80,12.39,
30,아모레퍼시픽,"194,000","1,500",-0.77%,500,"113,409","58,458",31.71,"298,055",311.90,5.36,
31,넷마블,"132,000","2,000",+1.54%,100,"113,314","85,844",22.48,"582,006",53.46,3.54,
32,하나금융지주,"36,550",700,+1.95%,"5,000","109,738","300,242",64.73,"1,783,199",4.47,8.77,
33,신풍제약,"188,500","9,500",+5.31%,500,"99,877","52,985",11.12,"3,570,375","5,236.11",0.80,
34,롯데케미칼,"281,000","4,500",-1.58%,"5,000","96,314","34,275",26.77,"234,579",83.06,5.51,
35,삼성화재,"192,000",500,+0.26%,500,"90,960","47,375",44.48,"249,019",14.04,4.85,
36,한온시스템,"15,750",800,-4.83%,100,"84,074","533,800",20.75,"2,442,532",59.89,14.98,
37,S-Oil,"70,200","1,000",-1.40%,"2,500","79,033","112,583",74.96,"400,524",-9.41,1.01,
38,고려아연,"398,000","6,000",+1.53%,"5,000","75,103","18,870",23.85,"71,168",13.41,9.76,
39,한국조선해양,"104,500","1,000",+0.97%,"5,000","73,958","70,773",15.88,"446,271",346.03,1.40,
40,우리금융지주,"10,050",50,-0.50%,"5,000","72,588","722,268",25.39,"1,885,477",5.39,N/A,
41,한화솔루션,"45,100","1,400",-3.01%,"5,000","72,099","159,864",18.90,"4,492,632",-80.25,-4.02,
42,기업은행,"9,590",10,+0.10%,"5,000","70,838","738,664",10.35,"2,090,887",4.90,7.36,
43,현대글로비스,"186,000",500,-0.27%,500,"69,750","37,500",35.89,"288,330",10.45,11.25,
44,빅히트,"187,500","2,000",-1.06%,500,"66,795","35,624",3.70,"255,936",N/A,56.47,
45,미래에셋대우,"10,350",200,+1.97%,"5,000","66,790","645,316",14.38,"5,317,168",10.82,7.56,
46,KT,"24,400",50,+0.21%,"5,000","63,711","261,112",43.99,"1,116,069",10.40,4.61,
47,KODEX 200,"36,750",645,+1.79%,0,"61,814","168,200",16.88,"9,773,354",N/A,N/A,
48,포스코케미칼,"98,600","1,200",-1.20%,500,"60,134","60,988",7.55,"1,180,325",210.23,11.57,
49,LG디스플레이,"16,400",400,+2.50%,"5,000","58,682","357,816",22.99,"5,580,693",-2.39,-22.35,
50,CJ제일제당,"357,000","3,500",-0.97%,"5,000","53,743","15,054",23.54,"98,913",7.41,3.16,
51,코웨이,"71,100",0,0.00%,500,"52,472","73,800",60.59,"266,693",14.69,30.74,
52,LG유플러스,"11,850",50,-0.42%,"5,000","51,738","436,611",31.01,"3,227,808",6.53,6.30,
53,한미사이언스,"77,200","6,900",+9.82%,500,"50,961","66,011",2.11,"2,304,734",344.64,4.73,
54,현대제철,"37,800","2,700",+7.69%,"5,000","50,442","133,446",19.49,"3,285,712",-20.48,0.10,
55,강원랜드,"23,550",200,-0.84%,500,"50,383","213,940",22.71,"903,721",-26.52,9.16,
56,오리온,"121,000",500,-0.41%,500,"47,839","39,536",42.09,"111,998",17.48,14.24,
57,SK케미칼,"392,000","14,500",-3.57%,"5,000","46,026","11,741",16.77,"395,556",17.89,1.51,
58,대한항공,"26,150",100,+0.38%,"5,000","45,556","174,210",12.11,"2,831,018",-5.96,-22.09,
59,한국타이어앤테크놀로지,"36,500",750,-2.01%,500,"45,214","123,875",38.06,"602,271",17.56,6.03,
60,한국금융지주,"80,700","2,800",+3.59%,"5,000","44,971","55,726",30.35,"973,835",7.38,18.14,
61,아모레G,"54,400",900,-1.63%,500,"44,857","82,458",19.79,"148,064",192.23,4.12,
62,삼성중공업,"7,110",150,+2.16%,"5,000","44,793","630,000",14.78,"25,009,343",-3.59,-21.88,
63,한미약품,"370,000","13,500",+3.79%,"2,500","43,819","11,843",13.81,"275,518","-3,523.81",7.30,
64,현대중공업지주,"277,000","2,000",-0.72%,"5,000","43,762","15,799",17.49,"52,151",-16.78,2.20,
65,유한양행,"65,100",400,-0.61%,"1,000","43,524","66,857",20.79,"351,025",23.98,2.43,
66,이마트,"156,000","2,500",-1.58%,"5,000","43,486","27,876",31.42,"224,631",7.79,2.76,
67,금호석유,"137,500","3,500",-2.48%,"5,000","41,893","30,468",27.81,"241,479",11.77,11.84,
68,HMM,"12,750",200,-1.54%,"5,000","41,658","326,726",6.11,"7,231,909",-41.13,-55.46,
69,녹십자,"355,000","2,000",+0.57%,"5,000","41,487","11,687",19.90,"220,496",95.23,-0.35,
70,현대건설,"36,600","1,650",+4.72%,"5,000","40,756","111,356",19.51,"3,205,965",17.84,6.30,
71,한진칼,"68,200",200,+0.29%,"2,500","40,374","59,200",17.15,"272,382",-11.25,-17.56,
72,LG이노텍,"170,500","10,000",+6.23%,"5,000","40,352","23,667",34.35,"828,010",30.91,4.73,
73,삼성카드,"34,350",50,-0.15%,"5,000","39,798","115,859",10.13,"139,374",9.66,5.04,
74,맥쿼리인프라,"10,850",0,0.00%,0,"37,871","349,044",14.48,"1,171,975",N/A,N/A,
75,두산중공업,"14,900",100,-0.67%,"5,000","37,718","253,141",12.55,"3,396,990",-3.21,-14.73,
76,삼성증권,"42,050",550,+1.33%,"5,000","37,551","89,300",25.29,"1,269,559",7.98,8.15,
77,CJ대한통운,"161,500","1,000",-0.62%,"5,000","36,842","22,812",21.61,"64,330",29.11,1.41,
78,롯데지주,"35,100",500,-1.40%,200,"36,823","104,909",11.43,"232,807",-5.14,-5.21,
79,GS,"36,450",250,-0.68%,"5,000","33,868","92,915",19.13,"388,230",-39.53,6.26,
80,쌍용양회,"6,700",620,+10.20%,"1,000","33,759","503,860",28.29,"22,007,245",26.91,7.02,
81,현대차2우B,"91,800",100,-0.11%,"5,000","33,494","36,485",60.40,"162,422",21.94,N/A,
82,NH투자증권,"11,800",400,+3.51%,"5,000","33,206","281,409",14.60,"3,025,579",5.73,9.12,
83,SKC,"86,600","1,700",-1.93%,"5,000","32,505","37,535",7.94,"443,919",38.44,3.86,
84,키움증권,"144,500","10,000",+7.43%,"5,000","32,125","22,232",24.98,"222,258",6.38,16.97,
85,호텔신라,"81,700",900,-1.09%,"5,000","32,066","39,248",20.90,"653,063",-24.80,20.16,
86,동서,"32,000",100,-0.31%,500,"31,904","99,700",4.86,"208,613",23.07,10.53,
87,DB손해보험,"44,750",150,+0.34%,500,"31,683","70,800",40.53,"226,544",5.70,6.92,
88,에스원,"79,700",300,-0.37%,500,"30,285","37,999",54.78,"76,742",20.97,11.32,
89,더존비즈온,"100,500","1,500",-1.47%,500,"30,256","30,106",45.36,"141,885",62.46,18.78,
90,대우조선해양,"27,950",500,+1.82%,"5,000","29,988","107,291",8.87,"688,831",17.20,-1.22,
91,두산밥캣,"29,900",850,-2.76%,500,"29,974","100,249",20.42,"395,455",16.18,7.05,
92,LG화학우,"387,000","7,500",+1.98%,"5,000","29,756","7,689",59.22,"82,560",36.16,N/A,
93,대림산업,"85,200","3,800",+4.67%,"5,000","29,650","34,800",38.56,"951,741",4.51,11.74,
94,롯데쇼핑,"103,000","3,000",-2.83%,"5,000","29,137","28,289",11.54,"206,399",-2.17,-8.14,
95,GS건설,"34,350","2,150",+6.68%,"5,000","27,514","80,098",28.39,"1,712,153",8.99,11.79,
96,삼성엔지니어링,"13,900",300,+2.21%,"5,000","27,244","196,000",26.01,"3,150,636",10.67,24.62,
97,한국가스공사,"29,150",300,+1.04%,"5,000","26,909","92,313",8.79,"313,871",-5.36,0.48,
98,TIGER 200,"36,720",645,+1.79%,0,"26,145","71,200",5.67,"1,665,367",N/A,N/A,
99,GS리테일,"33,850",300,-0.88%,"1,000","26,064","77,000",14.18,"333,556",15.43,6.25,
100,휠라홀딩스,"42,450",900,-2.08%,"1,000","25,789","60,752",45.69,"521,439",14.31,23.81,
